# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = mesquite_volume_model
# start_datetime = 2023-07-16 15:43:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = mesquite_volume.json
# init = 2 (Default)
# random
#   seed = 1720219858 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,sigma
-27.5977,0.96053,0.489997,3,7,0,30.802,5.08774,0.849346,0.458298
-26.7504,0.976572,0.489997,3,7,0,28.2938,5.28389,0.728054,0.396468
-25.1376,1,0.489997,2,7,0,27.1153,5.11193,0.717051,0.410079
-25.5993,0.882233,0.489997,2,3,0,26.5158,5.08532,0.720069,0.414893
-27.8226,0.755516,0.489997,2,7,0,28.4135,5.25664,0.779255,0.438351
-27.4426,1,0.489997,2,3,0,28.1217,5.2502,0.776014,0.441285
-27.3196,1,0.489997,3,7,0,28.3079,5.22291,0.790515,0.432867
-24.7004,0.940721,0.489997,1,3,0,28.3078,5.16092,0.743595,0.403285
-24.8055,0.986094,0.489997,2,7,0,25.0114,5.16749,0.742019,0.431455
-24.7494,0.994375,0.489997,2,7,0,24.9575,5.14769,0.712282,0.407783
-24.9433,0.996428,0.489997,3,7,0,25.3392,5.23783,0.691728,0.404413
-26.4781,0.780085,0.489997,3,7,0,27.1198,5.26856,0.736285,0.452558
-25.3298,0.999055,0.489997,2,7,0,26.61,5.17156,0.71483,0.467804
-24.9215,0.990344,0.489997,2,7,0,26.1508,5.10424,0.759653,0.415314
-25.5226,0.976804,0.489997,2,3,0,25.6007,5.09984,0.770557,0.460694
-26.1833,0.932415,0.489997,3,7,0,27.3897,5.17252,0.67713,0.485004
-29.1314,0.932335,0.489997,3,7,0,30.0266,5.41956,0.638774,0.42625
-24.6868,0.999488,0.489997,3,7,0,31.9582,5.17271,0.717696,0.391138
-24.8864,0.988655,0.489997,3,15,0,25.2336,5.11183,0.753513,0.39881
-26.412,0.957361,0.489997,3,7,0,27.1351,5.30051,0.619442,0.421903
-26.412,0.444977,0.489997,2,3,0,31.43,5.30051,0.619442,0.421903
-25.1052,0.99691,0.489997,3,7,0,26.739,5.20291,0.726985,0.448435
-27.5221,0.890755,0.489997,3,7,0,28.204,5.17372,0.757508,0.533966
-26.5277,0.921805,0.489997,2,7,0,28.7617,5.20795,0.779334,0.452371
-26.0549,0.97132,0.489997,2,7,0,28.9489,5.29504,0.673417,0.458346
-27.4727,0.937591,0.489997,3,7,0,28.8111,5.22512,0.657262,0.526853
-26.4762,0.987908,0.489997,3,7,0,28.6638,5.28945,0.680815,0.368673
-25.313,0.719736,0.489997,2,3,0,29.2534,5.16077,0.680211,0.401836
-27.1257,0.866974,0.489997,2,3,0,27.5973,5.2257,0.738109,0.345252
-28.3206,0.742623,0.489997,2,3,0,30.3553,5.17349,0.702216,0.31666
-25.2633,0.949274,0.489997,2,3,0,29.3754,5.26097,0.693279,0.404918
-25.7971,0.638016,0.489997,3,7,0,28.7281,5.27244,0.686058,0.460345
-25.3997,0.993063,0.489997,3,7,0,26.1097,5.13351,0.765988,0.373327
-25.648,0.712946,0.489997,2,3,0,28.5957,5.06966,0.733827,0.417997
-25.4061,0.991808,0.489997,3,7,0,26.1953,5.16093,0.675323,0.418973
-24.6168,1,0.489997,3,7,0,25.3634,5.18425,0.710434,0.414539
-26.2014,0.917385,0.489997,3,7,0,26.5985,5.24841,0.625516,0.425041
-27.0056,0.939376,0.489997,2,7,0,29.1752,5.12218,0.775558,0.517053
-26.0639,0.945616,0.489997,3,7,0,28.6361,5.07703,0.724327,0.383808
-25.8102,1,0.489997,3,7,0,26.9087,5.08132,0.807381,0.412361
-25.2582,0.942791,0.489997,3,7,0,27.4086,5.14468,0.694394,0.438861
-26.4874,0.884465,0.489997,3,7,0,28.2713,5.20615,0.653661,0.364196
-28.2403,0.765576,0.489997,3,7,0,29.2238,5.01027,0.737867,0.506925
-27.1209,0.996396,0.489997,3,7,0,28.412,5.17217,0.650221,0.368272
-25.0957,0.85516,0.489997,2,3,0,28.2839,5.16045,0.719297,0.37042
-27.2484,0.803503,0.489997,3,7,0,27.7224,5.2036,0.662129,0.520007
-24.9802,0.991376,0.489997,2,3,0,27.4284,5.18456,0.706565,0.448888
-24.805,0.991337,0.489997,2,7,0,25.2606,5.13586,0.720406,0.424109
-28.3259,0.854257,0.489997,2,7,0,29.5378,5.13669,0.702621,0.556548
-28.9481,0.943555,0.489997,2,7,0,30.6969,5.16243,0.620326,0.518287
-27.0792,0.985323,0.489997,3,7,0,30.4863,5.34889,0.636635,0.401325
-27.758,0.997964,0.489997,3,7,0,28.8084,5.37121,0.607119,0.466803
