# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = earnings2_model
# start_datetime = 2023-07-16 16:10:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = earnings2.json
# init = 2 (Default)
# random
#   seed = 1721821291 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,sigma
-9224.19,0.999118,0.0295358,7,255,0,9230.06,-45.2993,7.72318e-05,8.21178,-2.74973,20.869,-3.36068,12.2834,6.47902,-0.105187,-15.3423,3.67793,-27.2438,116.268
-9224.07,0.992884,0.0295358,7,255,0,9229.57,-24.1681,0.000101408,-9.8429,-12.649,4.5779,-13.7043,17.6963,3.46659,0.166365,-6.73624,-33.6134,4.83318,109.757
-9226.96,0.738671,0.0295358,7,255,0,9232.19,-22.555,-0.000156437,-6.64005,-10.9239,2.88883,-12.7393,18.842,3.12957,0.332022,-6.35083,-32.3588,7.02312,109.477
-9226.77,0.990281,0.0295358,7,127,0,9230.79,-32.824,-7.17944e-05,7.83599,-9.02161,30.1998,-7.74534,14.0464,3.67077,0.335936,19.7692,-36.0821,-16.1794,117.315
-9222.42,0.940358,0.0295358,7,127,0,9233.11,-29.0213,0.000107076,2.62124,0.28487,20.4607,-5.82809,10.9058,4.72315,0.143902,-14.5823,-27.295,-2.53807,115.842
-9221.58,0.980634,0.0295358,8,383,0,9226.61,-43.4988,-1.6556e-05,-2.46618,-15.4589,8.81774,-10.9035,19.7355,4.47858,0.191783,14.8568,8.81591,1.48001,110.168
-9221,0.940142,0.0295358,7,127,0,9226.01,-28.2766,-4.11053e-05,1.13076,-15.886,26.3127,-3.44879,12.6546,3.70843,0.380179,2.12854,-2.81414,-26.7798,113.422
-9223.52,0.908488,0.0295358,7,127,0,9226.53,-42.522,0.000129328,0.898574,-6.96103,7.48564,-6.45945,18.6627,5.05692,-0.14195,-20.4073,-16.2608,-44.0835,115.875
-9224.15,0.999628,0.0295358,7,255,0,9231.48,-32.1452,-0.00011127,9.00678,0.799817,13.4155,-16.3299,14.0651,3.69676,0.255214,26.9755,-11.4677,13.9755,112.573
-9226.44,0.937427,0.0295358,7,255,0,9230.17,-26.3326,-7.31158e-05,-10.1468,-21.2497,20.0303,-3.38915,18.1317,2.15841,0.280106,-15.8723,-40.7624,-35.6395,113.976
-9222.15,0.90749,0.0295358,7,127,0,9230.19,-29.7142,2.09468e-05,-1.45517,-11.652,15.4666,-8.36548,11.756,4.3427,0.356112,-8.73818,-39.5775,11.9593,110.617
-9224.93,0.812515,0.0295358,7,255,0,9231.31,-30.8459,0.000146401,-5.089,-4.24437,14.7769,-12.5625,18.4212,5.42751,-0.366803,-20.2761,-33.8638,-31.8662,112.563
-9226.41,0.999702,0.0295358,7,127,0,9230.85,-26.6508,-0.000100731,7.29449,-9.2245,7.98698,-12.3315,13.8818,1.27579,1.00159,9.77272,7.51761,46.7627,113.375
-9229.29,0.955189,0.0295358,7,127,0,9234.42,-53.7251,0.000139442,-1.41332,12.7972,19.4854,-17.7439,15.5491,2.49054,1.33242,1.93956,3.41067,65.4765,113.374
-9224.32,0.937319,0.0295358,7,127,0,9234.7,-40.6994,-0.000174608,12.3034,-9.83463,16.4027,-2.8213,17.7236,3.30693,0.197224,-1.16054,-10.78,25.1175,110.992
-9221.95,0.999953,0.0295358,7,255,0,9230.18,-49.7258,-0.000134163,-0.916016,-5.13602,7.3825,-11.5035,18.3126,3.45781,0.720954,2.26783,-4.0509,-3.60743,110.05
-9222.97,0.938305,0.0295358,7,127,0,9228.23,-41.4196,0.000202247,0.902732,-0.359109,14.4028,-0.161722,12.8864,3.88983,0.570889,9.62227,2.08572,-43.3692,115.146
-9220.58,0.948603,0.0295358,7,255,0,9229.51,-38.4138,1.19008e-05,-0.81088,16.4345,9.95083,-8.89239,17.0314,4.55061,0.0794551,-6.71261,4.62145,-13.1483,113.69
-9220.77,0.95551,0.0295358,7,127,0,9223.15,-54.1344,-4.41618e-05,0.193679,16.0435,9.87009,-6.65531,16.55,5.51748,0.349051,8.85368,7.92488,-12.8005,113.025
-9224.05,0.780935,0.0295358,7,127,0,9226.7,-45.2224,-0.000188647,8.12526,-14.5053,10.2403,-9.75591,20.4274,3.85271,0.241603,9.37291,20.7558,-24.7935,111.232
-9221.91,0.999906,0.0295358,7,255,0,9227.32,-37.5246,0.000173334,1.43178,-8.59383,12.9594,-13.2719,13.8201,5.14944,0.127249,25.5384,2.76038,-8.08618,113.288
-9222.49,0.988914,0.0295358,7,255,0,9228.2,-41.8971,5.12164e-05,8.04868,2.59406,23.3924,0.63636,13.6361,4.0747,0.377207,-5.51055,-19.9362,16.9226,111.053
-9223.25,1,0.0295358,7,127,0,9228.42,-47.294,6.12386e-05,2.16435,-12.319,11.1925,-14.502,16.4716,4.4112,0.487181,21.6945,7.72277,38.2882,115.208
-9223.41,0.855888,0.0295358,7,255,0,9229.32,-32.3771,0.000134521,-0.0812829,-10.0041,24.285,-0.91622,13.6257,5.57566,-0.154647,-11.6481,-4.71288,-28.1556,110.21
-9221.6,0.989741,0.0295358,7,127,0,9227.81,-33.6981,1.37123e-05,-0.534732,-28.8776,8.16439,-13.3508,18.8178,4.65773,-0.131259,-13.2229,5.10943,-18.0175,111.209
-9224.74,0.92966,0.0295358,7,127,0,9229.19,-41.499,9.32054e-05,-0.863914,12.3058,21.2376,-4.1792,9.36751,4.32193,0.691527,10.8848,-7.41279,-65.5571,112.031
-9219.7,0.965776,0.0295358,7,127,0,9227.97,-25.8531,3.09603e-05,-6.77899,-7.88084,15.3183,-7.71308,16.7255,3.39966,0.143371,-8.51125,-4.62691,-20.1434,113.798
-9220.03,0.823697,0.0295358,7,255,0,9224.93,-35.6932,0.000145325,-4.28385,-16.9299,12.2389,-6.88279,16.6469,4.37432,0.100626,-4.22508,2.0554,-35.5359,113.82
-9223.74,0.996843,0.0295358,7,127,0,9225.74,-45.8276,-0.00013774,6.20133,11.8456,15.4529,-7.44635,15.1011,4.78258,0.410925,29.3904,-24.8339,11.0251,112.359
-9221.62,0.99637,0.0295358,7,127,0,9227.43,-24.3702,-7.50319e-05,-1.79059,-12.5284,8.41214,-18.276,13.4891,3.36827,0.410215,-7.28046,-13.1595,-37.254,115.17
-9221.3,0.964458,0.0295358,7,127,0,9227.81,-36.4911,9.58797e-05,6.71299,-7.46731,7.16282,-14.6361,17.568,2.96699,0.648937,-10.8684,-23.9568,-34.079,111.861
-9222.03,0.999833,0.0295358,7,255,0,9227.51,-34.769,-2.94185e-05,-1.18472,-10.8323,3.4985,-16.6155,20.6722,2.63695,0.586373,-2.8625,-2.55075,6.29824,114.378
-9222.66,0.925741,0.0295358,7,255,0,9227.82,-16.703,-3.58991e-05,5.45635,-15.7317,24.5169,-6.38499,9.92093,4.59085,-0.00959127,-7.91676,3.93588,-10.6741,113.836
-9221.47,0.982033,0.0295358,7,127,0,9227.02,-43.1328,-4.3986e-06,-2.52413,-22.8971,18.714,-2.89915,21.4693,4.09513,0.0286675,-1.99726,-7.75501,-26.8352,112.781
-9223.52,0.999461,0.0295358,7,127,0,9226.17,-28.8889,2.14204e-05,5.7205,-10.1817,5.18086,-16.5034,10.4612,4.49533,0.587307,-0.956323,-14.6673,14.3623,113.5
-9221.47,0.983831,0.0295358,8,255,0,9228.13,-43.735,-2.83263e-05,0.925109,7.12655,18.4119,-0.537298,14.2201,4.15642,0.358404,7.51571,22.8922,-30.9926,111.8
-9225.24,0.999707,0.0295358,7,127,0,9229.46,-44.185,-2.18933e-05,7.86244,-41.7659,13.1149,-14.4693,19.5442,4.45756,0.149799,5.1799,0.462747,7.32567,113.838
-9222.81,0.892188,0.0295358,7,127,0,9230.87,-27.6851,0.000116549,-6.5056,7.04115,12.5114,-12.8017,17.1006,2.78286,0.501125,-23.0952,-1.35518,-0.24673,114.338
-9224.77,0.990384,0.0295358,7,255,0,9229.78,-44.7676,-0.000139781,0.772694,-5.61535,24.3565,-13.8616,14.7646,5.91558,0.0957525,-23.2521,-6.45087,-2.81762,115.07
-9222.27,0.99647,0.0295358,7,127,0,9227.86,-39.5419,5.03085e-05,2.13039,-1.44667,3.94058,0.783573,18.5473,1.93431,0.790473,7.18377,-6.96786,-20.1136,112.442
-9226.61,0.998197,0.0295358,7,127,0,9233.6,-43.0591,-6.00106e-05,-0.817197,-7.63368,34.2396,-12.797,16.1211,3.5512,0.538395,16.5074,17.2007,-66.7047,113.596
-9222.78,0.986276,0.0295358,7,127,0,9235.62,-24.8637,1.92643e-05,0.177289,-21.648,5.18043,-8.6848,16.6155,3.32179,0.0711984,5.79628,-11.5837,-70.5248,113.789
-9224.45,0.999232,0.0295358,7,127,0,9230.31,-46.3027,1.9477e-05,6.67494,-7.01163,2.19525,-17.2953,18.2141,2.2878,1.0186,-16.1686,-11.3503,-59.8888,114.511
-9220.66,0.995772,0.0295358,7,127,0,9229.69,-37.9932,1.02393e-05,-6.43938,-9.50154,21.134,-6.63479,12.7742,4.49757,0.476383,7.81157,-10.6793,16.4388,112.152
-9221.74,0.843685,0.0295358,7,127,0,9226.63,-39.6504,3.11503e-05,0.416367,-13.7923,6.87207,-5.26887,19.3673,3.96658,0.119178,21.9099,-26.8044,-8.70509,115.932
-9221.73,0.999734,0.0295358,7,255,0,9227.24,-36.8655,-2.6224e-05,2.85414,-14.2071,12.1034,-10.3885,20.6627,4.5891,-0.256955,13.7615,-18.6512,-25.5181,114.668
-9222.3,0.996702,0.0295358,7,127,0,9226.24,-32.3373,-1.12152e-05,0.185823,1.98766,23.5345,-2.36415,10.1202,2.48303,1.00713,-2.31332,-13.651,-9.45089,112.344
-9223.14,0.969097,0.0295358,7,127,0,9229.35,-49.0403,-4.28127e-05,6.49782,-7.87395,13.0551,-2.38065,20.9817,1.54317,0.818548,-7.36268,-23.2472,-48.6291,112.341
-9223.01,0.943033,0.0295358,7,127,0,9228.1,-42.2933,-1.16721e-05,-7.00801,7.03278,2.48295,-7.68988,17.9623,3.66945,0.500206,-11.7406,-21.8596,-41.4106,116.465
-9224.78,0.856417,0.0295358,7,127,0,9232.06,-23.5245,0.000107837,8.35005,-28.5537,22.5153,-8.68463,10.7385,4.76386,-0.0956093,3.41589,-1.56731,-34.1867,109.226
-9224.22,0.895694,0.0295358,7,127,0,9233.1,-39.8869,0.000134675,-8.79969,1.32969,3.82381,-10.2132,18.4535,2.73389,0.744451,-13.8417,-2.01548,0.740584,117.676
-9224.41,0.95796,0.0295358,7,127,0,9231,-16.4094,1.94835e-05,0.979044,-31.357,22.6412,-13.7398,10.1409,3.64149,0.310992,-14.8937,-4.46089,-12.8875,108.47
-9221.07,0.992971,0.0295358,7,127,0,9227.69,-29.9982,-3.4718e-05,2.2865,7.87449,16.7139,-9.97978,12.6572,4.89224,0.0516322,-1.74773,1.3299,-10.9079,116.497
-9223.21,0.959734,0.0295358,7,127,0,9226.36,-51.1487,1.87766e-05,-4.20641,-1.17202,13.4867,-5.56416,21.8288,1.08407,1.11763,0.454169,2.17132,-23.1279,110.149
-9222.22,0.965614,0.0295358,7,127,0,9228.25,-52.1981,-3.59953e-05,-2.46343,1.81232,13.6934,-12.9279,20.3005,2.17912,0.880278,1.32961,4.06473,-26.8512,110.677
-9222.17,0.958655,0.0295358,7,255,0,9228.68,-33.1923,-8.04978e-05,0.659268,3.72617,14.1665,-0.622434,12.2833,4.90475,0.151203,-14.2059,-14.0401,-46.195,110.449
-9220.94,0.999935,0.0295358,7,255,0,9226.72,-25.0871,7.36613e-05,2.19558,3.56169,3.77499,-10.691,14.2748,4.09814,0.24053,2.57966,-25.5555,-39.2003,113.127
-9221.86,0.998358,0.0295358,7,127,0,9224.47,-20.8002,-2.77374e-06,-1.64942,-12.9047,0.586875,-6.75915,14.0563,3.97271,0.204125,2.84569,-23.638,-50.5199,112.936
-9220.62,0.906331,0.0295358,7,127,0,9226.43,-32.6883,1.17421e-05,-4.37133,4.05293,14.837,-15.2371,14.5324,4.70633,0.258796,18.2703,-23.0869,-39.4796,111.699
-9220.17,0.976868,0.0295358,7,127,0,9223.81,-43.0862,5.34404e-05,8.55007,-13.9503,12.2723,-3.92654,18.6532,2.56762,0.595595,-4.73624,1.38216,-11.0806,113.765
-9224.36,0.964513,0.0295358,7,127,0,9232.4,-43.2185,4.82754e-05,6.11702,-25.5902,6.40443,-4.41268,22.4198,1.39363,0.682791,-3.35984,1.3938,4.8899,111.456
-9227.35,0.969144,0.0295358,7,127,0,9234.91,-46.6892,7.57959e-05,3.90368,-26.0327,17.4081,-5.56636,24.6039,0.811386,0.643008,-4.68623,-1.68295,9.88368,113.079
-9226.39,0.918597,0.0295358,6,63,0,9232.52,-45.8613,0.000140267,3.58358,-31.1742,14.2129,-8.01308,22.8881,1.97884,0.472061,-14.9629,1.62503,16.3716,111.565
-9221.01,0.852377,0.0295358,6,63,0,9229.5,-43.4459,0.000117304,2.79031,-18.237,11.8704,-5.43861,18.0521,3.25586,0.445843,-12.7016,-0.588933,8.29742,110.985
-9220.87,1,0.0295358,7,127,0,9223.16,-47.889,7.37422e-05,-1.95226,-8.87849,15.2957,-4.11317,20.1718,2.652,0.555788,0.960315,2.76962,19.5709,113.892
-9219.2,0.982771,0.0295358,7,255,0,9223.46,-28.3112,2.74472e-05,3.33863,-6.92582,15.6974,-9.61165,12.0404,4.67241,0.141772,3.32334,-20.4751,-28.5232,111.219
-9222.43,0.952961,0.0295358,7,127,0,9225.04,-53.9395,-1.85934e-05,6.8554,2.06932,9.79325,-8.01064,21.0582,4.19556,0.264387,-5.48402,-21.1156,-63.0516,112.249
-9220.96,0.91421,0.0295358,7,127,0,9225.71,-24.6066,-2.55239e-05,-7.57668,-3.49547,14.1305,-10.7784,12.4728,4.28929,0.272167,19.2968,4.25082,-30.2462,113.946
-9221.23,0.714338,0.0295358,7,127,0,9228.21,-49.1571,0.000100786,9.43796,-2.0345,11.2474,-1.51772,18.9337,2.68338,0.641045,-3.1898,-10.7147,-30.2351,112.268
-9222.67,0.994077,0.0295358,7,127,0,9224.77,-29.5158,-9.97362e-05,-10.1312,2.08894,13.118,-14.2583,13.8444,6.03531,-0.114963,4.69162,-27.0107,-28.6891,113.909
-9221.13,0.9903,0.0295358,7,127,0,9226.24,-34.3137,-1.21143e-05,5.18712,-6.0032,17.5153,-0.201721,14.6996,2.93576,0.383192,-15.0599,-17.788,-4.50062,111.577
-9224.67,0.811995,0.0295358,7,255,0,9230.38,-59.7312,2.76761e-05,-3.28327,11.4466,10.2932,-15.0875,22.4797,4.01579,0.573261,34.7424,12.8835,-50.3246,113.78
-9230.1,0.999361,0.0295358,7,127,0,9237.69,-59.3904,-2.95773e-05,3.29321,16.5453,7.67798,7.22718,17.2137,7.49067,-0.274643,-1.63411,3.0104,-86.127,114.26
-9224.43,0.994838,0.0295358,7,127,0,9234.89,-36.2235,1.3711e-05,-4.10547,1.68197,18.1949,-19.8651,17.6504,4.17848,0.240121,16.9616,11.0929,-46.4337,109.646
-9223.03,0.997743,0.0295358,7,255,0,9227.94,-34.0324,-8.60324e-06,-3.48924,-3.58872,13.6448,-19.3612,17.1662,3.70193,0.290719,18.6361,3.93869,-40.1464,109.345
-9221.24,0.90445,0.0295358,7,255,0,9227.68,-49.5391,-1.71872e-05,4.30253,-7.68809,4.36207,-15.0404,19.3021,4.63343,0.39094,7.32331,10.4036,-11.0141,111.902
-9221.5,0.886873,0.0295358,7,127,0,9226.55,-26.4083,-5.86723e-05,-2.31734,-16.6037,14.6157,-0.587736,16.9599,3.36646,0.220855,-6.53846,-9.35643,-23.431,112.472
-9225.84,0.96068,0.0295358,7,127,0,9229.09,-31.6103,2.55504e-05,3.84044,-22.7283,30.1635,-5.4406,9.06634,4.21343,0.300474,-12.6776,-15.1333,-0.129348,110.997
-9230.63,0.80109,0.0295358,7,127,0,9239.04,-49.8265,-0.000133159,-8.41042,12.0376,13.6335,-5.91032,22.5239,6.45123,-0.381412,-7.52588,-16.9997,26.087,117.424
-9230.2,0.974225,0.0295358,7,127,0,9234.72,-48.9049,0.000137706,-11.239,9.54049,8.62503,-6.28201,20.038,7.48518,-0.504697,-7.36016,-16.6325,26.4982,117.619
-9220.13,0.883795,0.0295358,7,127,0,9233.61,-42.9421,-6.63179e-05,7.15337,-19.0791,13.007,-3.31951,18.1999,3.82543,0.215956,12.3524,-13.5205,0.605171,113.716
-9233.47,0.975688,0.0295358,7,127,0,9237.5,-46.3379,7.98965e-05,1.52705,7.23254,38.8774,-4.55705,10.3887,6.33731,-0.0919037,28.3633,6.41953,69.5087,116.172
-9229.83,0.98203,0.0295358,7,127,0,9245.26,-43.4543,8.82417e-05,1.04256,-11.9118,-1.57187,-8.25153,18.0362,3.32152,0.556879,24.1164,31.0405,22.1771,109.647
-9228.64,0.950892,0.0295358,7,127,0,9234.12,-65.2869,-1.45913e-05,3.89261,18.6222,30.3709,-2.29416,18.1408,4.85772,0.517713,-3.74721,13.4981,-53.5281,117.334
-9220.44,0.817666,0.0295358,7,127,0,9237.11,-27.7868,-0.000100792,4.29437,-5.43625,17.804,-9.07859,12.3187,4.17725,0.266585,7.11723,5.93853,4.71879,112.374
-9222.28,0.811826,0.0295358,8,255,0,9226.06,-36.9624,-0.000167231,5.85151,-1.0481,13.0435,-4.26595,14.5946,3.75793,0.475312,-5.08377,-33.5977,-34.541,113.189
-9224.15,0.999662,0.0295358,7,127,0,9227.52,-22.8427,-6.56857e-05,-12.7654,-28.9182,17.2043,-1.67084,16.8987,3.26094,0.150911,-11.9652,-31.5065,-5.58763,114.993
-9223.81,0.995923,0.0295358,7,127,0,9226.77,-22.5473,-5.97268e-05,-12.3823,-30.1302,16.5175,-3.12083,16.701,3.43193,0.163248,-9.08085,-31.4166,-4.18358,114.876
-9222.33,0.997014,0.0295358,7,127,0,9230.01,-34.7491,3.61294e-05,7.01794,-12.3804,17.7267,-14.999,15.5529,5.46605,-0.337106,-2.48335,-16.9545,-7.43439,112.674
-9222.99,0.827335,0.0295358,7,255,0,9229.29,-35.0479,-8.5459e-05,5.10556,1.53053,16.7387,-10.9316,15.2345,5.54376,-0.349718,17.9612,-14.3574,3.18415,113.628
-9221.69,0.992044,0.0295358,7,127,0,9228.92,-40.6829,7.46489e-05,10.9359,-3.79663,13.2244,-15.282,16.3526,5.64304,-0.165964,10.0598,-17.047,-9.94924,111.969
-9223.47,0.713284,0.0295358,7,127,0,9229.7,-22.7817,0.000154275,-3.82948,-15.3195,15.0424,-3.77777,13.5947,5.65703,-0.272205,-22.2471,-20.3145,-44.9629,113.054
-9224.52,0.924475,0.0295358,7,127,0,9230.81,-29.5667,-9.70778e-05,-7.95836,-27.2886,16.7426,-6.23764,15.366,3.52356,0.293905,-27.6762,-23.8284,-52.7178,114.971
-9223.26,0.998969,0.0295358,7,127,0,9230.12,-31.027,-0.000102566,-6.19557,-5.73822,8.288,-12.5945,18.9715,3.47156,0.251123,-1.64316,-26.9342,-85.6088,112.585
-9222.3,0.993731,0.0295358,8,255,0,9228.85,-38.088,-0.000110139,10.4293,3.27152,17.7369,-2.97567,14.5119,2.90397,0.562601,15.9228,-18.8565,7.60873,113.909
-9219.62,0.999362,0.0295358,7,255,0,9225.85,-41.6269,7.62307e-05,-7.71808,-7.21718,9.56573,-6.75849,18.3063,3.50048,0.544024,-7.42624,-6.96315,-3.75081,113.386
-9220.09,0.93394,0.0295358,7,127,0,9225.96,-35.3124,6.70958e-05,6.97967,-10.8948,22.3385,-6.52679,12.8965,5.00051,0.0370241,6.27906,2.48371,-37.8336,112.733
-9220.02,0.995019,0.0295358,8,383,0,9222.52,-31.335,6.76465e-05,-4.25654,-18.1007,12.3909,-9.62878,18.141,3.91828,0.0867574,11.5304,-10.6681,-41.2492,115.087
-9220.9,0.997995,0.0295358,7,127,0,9224.56,-31.6921,-3.90431e-05,4.72131,-22.5512,7.01069,-5.87853,18.75,3.43689,0.170434,11.2416,-9.71686,-38.7197,111.857
-9224.01,0.998913,0.0295358,7,127,0,9227.93,-33.0104,3.37299e-05,14.1587,-18.2621,6.40352,-20.3096,15.7998,4.99518,0.0685165,-16.8347,6.01499,-38.0402,113.07
-9225.07,0.649418,0.0295358,7,127,0,9236.33,-30.9533,-7.07516e-05,17.7848,-19.2808,5.75227,-19.0827,17.0449,4.05777,-0.00712635,-10.5107,7.338,-29.9205,111.889
-9225.72,0.943272,0.0295358,7,127,0,9229.95,-49.0453,-7.49067e-05,-13.0111,-1.78467,23.3309,2.58086,18.2281,2.10152,0.865327,23.274,8.38635,-43.5731,114.597
-9224.88,0.959439,0.0295358,7,127,0,9230.81,-49.0974,7.24746e-05,17.5403,9.03991,5.26108,-15.3772,17.353,4.70534,0.244095,-1.98682,18.8163,-11.6263,111.867
-9222.59,0.99547,0.0295358,7,255,0,9232.17,-48.4742,-8.40915e-05,9.5507,12.1569,23.679,-8.22935,14.4666,4.89443,0.334901,17.8455,3.70572,-1.24948,111.541
-9224.13,0.829599,0.0295358,7,127,0,9228.73,-24.0733,-2.41694e-05,-8.96705,-22.6973,0.490741,-11.2785,19.6185,1.48566,0.699189,-20.4865,-7.70298,-19.3648,112.745
-9225.97,0.894404,0.0295358,7,127,0,9231.71,-35.1546,8.56321e-05,15.0675,5.24551,9.7404,-17.4359,14.203,5.07563,0.220292,-26.2021,-5.09495,8.02216,114.406
-9221.59,0.966309,0.0295358,7,127,0,9227.78,-47.4231,-3.86937e-08,-8.55414,-4.02811,8.27895,-3.9681,20.3138,3.24012,0.429448,8.97173,-9.79557,-1.61839,113.137
-9221.71,0.942857,0.0295358,7,127,0,9226.41,-45.5726,7.56021e-05,8.50314,1.40833,13.4109,-12.7245,13.9431,5.48228,0.32496,8.53637,-16.2316,-5.77493,114.434
-9227.94,0.999818,0.0295358,7,127,0,9230.98,-17.2894,-5.81711e-05,-10.0144,-8.39141,-3.75304,-21.1035,17.4985,0.905339,0.893142,-16.7876,-7.13204,-51.2675,112.389
-9223.73,0.9896,0.0295358,7,127,0,9233.97,-31.8768,-7.40634e-05,10.4927,-4.47313,20.4263,-6.23558,15.2824,4.71824,-0.0345143,7.64654,-34.3506,-15.5892,113.695
-9222.64,0.975567,0.0295358,7,127,0,9229.49,-41.3631,7.31502e-05,-10.4077,12.7506,11.7959,-5.12552,17.1237,3.49734,0.48261,4.3563,-27.7453,-45.5029,113.162
-9225.49,0.992953,0.0295358,8,255,0,9230.88,-35.7094,-3.76995e-05,-7.15642,-15.0521,18.2981,-9.0831,10.2221,6.50503,-0.0203955,15.3123,11.2213,6.67273,111.9
-9228.85,0.997532,0.0295358,8,511,0,9238.45,-47.1115,1.55104e-05,7.89973,3.84218,9.69431,-6.20518,20.3653,7.62209,-0.81203,-29.7966,-15.9661,-34.2146,115.429
-9223.8,0.998961,0.0295358,7,127,0,9232.96,-11.4025,3.85805e-05,-6.0342,-19.0926,14.0823,-13.521,13.1968,2.07678,0.407763,9.02013,-18.1182,12.4388,111.042
-9225.12,0.913299,0.0295358,7,127,0,9228.91,-42.6542,-9.79438e-05,7.79501,-17.4576,14.8443,-9.95751,14.0938,3.17697,0.879759,-26.0806,-14.6312,-5.89974,115.666
-9225.11,0.941785,0.0295358,7,127,0,9232.27,-40.0464,0.000150258,-7.53579,0.665811,10.5168,-5.54489,14.5733,5.44584,-0.0459177,-7.66546,4.95339,15.0528,110.249
-9222.89,0.905176,0.0295358,7,127,0,9233.54,-52.7818,3.91975e-05,5.78824,6.39231,5.67964,-16.9809,15.7281,5.30341,0.465774,9.98439,8.48362,-44.1363,114.894
-9223.79,0.840296,0.0295358,7,127,0,9227.7,-37.1152,-6.89751e-05,11.7853,1.71971,5.92791,-16.3696,19.2255,4.71003,-0.153275,6.69795,0.186383,-32.2445,115.801
